Sondes	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	D0	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14
Inf_1	5.01387550028	4.63707806208	4.86418424417	4.93425514849	5.22295358724	5.28181115191	4.78553980184	4.98592387572	5.09326340771	5.30771057078	5.0436990478	4.85378680438	5.07650432276	4.78873233268	4.62750314628	5.7219906214	5.85561131603	5.80704368455	5.97760507113	6.22137321033	5.29051466819	5.87050434098	5.9923483251	5.88904107823	6.16396415729	5.75901430782	6.08989122464	6.26159179399	6.36234779141	6.02141054951	2.95723458664	2.69992364504	3.05525505835	3.14296927936	3.41744321072	2.92131991592	2.83970331965	3.18549875862	2.9348193006	3.25359933017	3.3656590651	2.98300612109	3.27653630758	3.17117300008	2.87914925156	4.43294345698	4.61052252187	3.8908089907	4.17157856789	3.16038322242	3.76370451966	4.15714285223	4.02393562457	3.46273760534	4.04074438097	3.86306059715	4.26035463636	4.39874978999	3.63672098495	3.81089609822
Inf_2	3.83530228926	4.4114974039	4.15865379648	4.19909975899	4.36083113974	3.82455404316	3.73144119755	3.93730868806	3.94008131124	4.05705920289	4.09051601728	3.61618231423	3.69924893276	3.71087802115	4.03415014569	5.41399458126	4.65449902121	4.8854307962	5.19560720753	4.66092109767	4.85942233716	5.18966008828	5.17274243948	5.24573043216	4.70948108082	4.91166040928	4.90135987772	5.08880272923	4.65986374778	4.78895181494	3.07801405836	3.17163365138	2.84651277105	2.98572333003	2.91830682941	2.89691953788	3.07661976652	3.03694945667	2.9987750649	3.28321274199	2.6544217041	3.18177242652	2.65234628139	3.14304272496	2.70224038411	5.92190052875	6.21215524259	6.06499215254	6.01788702096	6.07093578075	6.27841086307	5.65987404202	6.48185765808	5.97531558279	5.56212543805	5.99184918739	6.08411492746	5.69185652203	5.61391624315	6.28998566719
InfUni_3	6.32895175715	6.41260481339	6.47436831595	5.47791974319	5.94167938954	6.45466463033	5.62870500016	5.41502625878	6.43244815217	5.55563143417	5.70359299313	5.8776977593	6.24051549145	6.45286625304	5.71234752008	5.38389522006	4.6337104999	5.18396140465	5.55321765889	5.55193348082	5.43449124896	4.99869205726	5.25276867995	5.48357418458	4.65283280553	5.14093628353	5.06600803841	5.24908770354	5.15685573531	4.5855938221	4.47494660551	3.73796258246	3.94604874753	3.65944203573	4.33785684393	4.09203476659	4.11483923816	4.42230144069	4.19298092052	3.84091737662	3.83303506163	4.59452810975	3.55341665807	3.96347212834	4.14210835045	3.24657183976	2.91820097635	3.12927668983	2.90629530716	3.4952210649	2.97083275988	3.35282302506	2.41708404804	2.42455510763	3.06530375138	3.39162282006	3.21434106034	3.25073439595	2.69052413317	3.35174772068
InfUni_4	4.30792677221	4.29859179739	3.92340603341	3.65693983369	3.97107320325	4.09487696875	3.8668819805	4.02380422827	4.20370687994	4.35545693245	4.57750927708	4.30060105122	3.65907384858	3.7058933228	3.60189849942	3.44168157429	3.06834713516	3.32361010658	3.08277433162	3.00092058913	2.60105505118	3.16876526203	3.21677621543	2.86026696113	3.41206411033	2.58507985513	2.65280897672	3.40512042222	2.51842513027	2.54318547411	5.25998795903	5.37000038289	5.47920274234	4.61962690887	4.83678356589	4.50105410137	4.63924998235	5.34071012987	5.39117757006	4.81881043376	5.56641757874	5.29473167934	5.11792938537	5.05656754892	5.49970647677	5.42026089658	6.14780598814	6.061887693	6.30373863336	5.43173810812	5.93335869378	5.46497362347	5.87268037674	6.38494667929	5.8848898808	6.08473761905	6.44455152605	6.51234902581	5.77917833243	5.4483624433
InfOne_5	12.3751570661	11.7301241361	11.761866677	11.8037603081	12.0165716683	11.9351059723	11.8919371348	11.9839955292	11.7702961861	11.8064260631	12.0083565434	12.4980888549	12.0672231078	12.0555468912	11.8024961685	3.21700945582	2.73678191191	3.0776098907	3.32714382609	2.63345972709	2.97832039559	3.77937615721	3.27914999422	2.90718359313	3.02631672153	2.68908588206	3.10941941275	3.01375230271	2.30471055728	2.47340313267	11.6654587716	11.8530182643	12.1226193201	12.5918690626	12.0610947352	12.4488398998	12.2009853219	12.3880008351	12.1070767204	11.7384233642	12.0101952453	11.7864447072	11.4451897065	11.8610464094	12.3055589705	11.8263829269	12.144420681	12.073662851	11.8972954678	11.6236808269	11.9482244604	12.1333879777	11.9821493843	12.4055298131	11.5180100729	11.9538930648	12.339204465	11.8860777881	12.4101477915	12.4704886044
InfOne_6	7.5287077328	7.37220660383	7.2872202145	6.71786705686	7.18095405135	6.88503837391	7.13410423971	7.10571260682	7.05919033139	6.88181037869	6.92858460234	7.34964687266	7.39505405599	6.96507371885	7.17089831986	10.1779220402	10.871473876	10.9491600647	10.8840081988	11.1574128631	11.4412176565	11.2767192068	10.8618577859	10.0080518807	10.6449499934	11.3995355406	11.4984882118	10.6871343267	11.0285830746	10.9644830218	10.7556120744	11.1825924802	10.7366558372	10.5694353271	11.3339664289	11.1629950983	10.6999352448	11.3030844628	11.3845405505	11.4025243456	11.5990323876	11.1225593385	10.7221072355	10.3389835029	10.8901804062	10.7071528074	11.1625960165	10.4058637503	10.8435474319	11.3074585064	11.2928282132	10.5522039854	11.0738271594	11.249519356	11.0214739713	11.0476363212	11.3744619791	10.6278207526	10.663287676	10.5920634309
InfOneUni_7	6.04549167591	6.58870232744	5.63443328028	5.99249650343	5.79037976286	5.97743168379	6.04176389245	6.22890790878	5.46466900724	6.26575844124	5.6460561042	5.42940042721	6.48312580644	6.31433130178	6.16551529512	7.59747411545	7.75461047041	8.07496082373	7.75655503722	8.5169532927	7.92077044313	7.59433023708	7.76205013783	7.46722189397	8.06105255182	7.51993109065	7.97974077085	8.55614139155	7.95190217428	7.44495776707	7.85257008749	7.63091903996	8.01361492305	7.80518849495	7.59522800726	8.39115722177	7.52326194271	8.29938476826	8.54337512613	8.06261380464	7.70982423146	8.48732193379	8.49145173367	8.03455765728	8.21805564746	7.94271997086	8.45841060937	8.31915602865	7.5985231114	8.14623353613	7.85038294143	8.25198077496	7.54471361406	7.96430901617	8.24137439391	7.63667303022	7.88475305132	7.67565333164	8.15810785152	8.06168901881
InfOneUni_8	13.5055365908	13.415777258	12.515581969	12.858277172	13.4984940169	12.9356188649	12.9274284271	13.1384802021	13.4477384169	12.9802070049	12.8363905984	12.6099084679	12.5018383854	13.1679458295	12.6806182243	11.3416208557	11.5660128341	10.5947709568	10.9870482475	11.4806727424	11.0498047341	11.1282116724	10.9335325102	11.0423067187	11.530429995	11.4541695573	10.5369804679	11.4601112392	10.9862439552	11.1242910867	10.9446840949	11.1130253826	11.0191715646	10.470375096	10.8883505555	10.612752042	10.6141479723	11.4195069868	10.435326806	10.6181938746	11.0173592265	10.7527068209	10.6541652455	11.1793852481	11.0091386258	11.5563094992	11.5884123296	11.2410148548	10.9516652379	11.568499086	10.7765002681	10.7626763965	10.9838221683	10.806052263	10.4349420926	10.5803081015	11.3623650593	10.4855375108	10.9534952933	10.8112687511
NonSig_12	8.08844286575	7.91787298791	7.94001614639	8.24206609082	8.97799113078	8.14776775527	8.41671762922	8.0907644152	7.69633337706	8.19925981731	7.52981136633	8.23972889258	8.87834621031	8.14376609987	8.13679285866	7.23602023315	7.39686507081	7.71958630918	7.30499284658	7.25934434439	6.3960595392	6.84721125895	8.30979335429	6.74421917899	7.00068163717	7.64245922442	7.34585146462	8.19034003136	7.50796452559	8.43731673023	8.57741919448	8.2537510584	8.14410323324	8.49431561347	8.37725014765	6.44585115977	8.26171282945	7.22593084345	8.62457731694	8.71377010807	8.09916232651	8.07506372179	6.73236872472	7.77006290766	8.60660546074	8.03553537761	8.00005170494	6.33611300097	8.10933695155	6.2859021677	7.45696749755	7.70415259995	8.12898326254	8.98297380578	8.72831133553	7.35292536484	7.72632431932	7.71504951164	5.93748932249	6.62675297361
NonSig_27	5.42964867776	7.05803794543	6.54999278955	5.59109586118	5.66234896114	6.5936401664	5.38723474389	6.25781213662	5.29378227723	5.04992578693	6.28649430471	5.65471358879	5.72276810853	6.99036933962	5.85001451955	6.36732299795	6.01282300995	4.46238997042	5.4003093535	5.95726999738	6.4726648304	5.01914735714	6.34823729875	4.98107483339	5.48726422736	5.348128988	6.27148342931	6.01669293435	5.81460911177	5.87591414881	4.96042415512	5.13233663936	5.55341994677	6.31490091752	5.26060941086	6.03892960479	6.0556624268	6.48247403363	5.89191953418	4.8983866242	5.14812398382	5.83964381385	6.10706463322	5.14420887525	5.05172689322	7.36693451819	7.39469213942	6.30958098263	5.83253610406	7.11758760469	5.77463017702	5.8516922425	6.05800331958	6.37734221148	6.38059733924	7.10972527748	5.95272527143	5.43406747688	6.46273307845	5.64481917548
NonSig_249	7.61398671746	7.30497310428	6.65968474042	6.1215914475	6.56998879333	6.65791385719	5.94481157162	7.03839235411	7.94373349937	6.12486190976	7.79016014113	6.39107069737	5.85521379938	7.06556376508	6.77663981612	6.50601611995	5.24944945289	6.21314756101	6.1226668106	7.24893373989	5.72001741734	6.66843669263	7.09068064618	5.9063741521	7.28683472018	6.29039800134	6.57436014248	5.6887135424	5.82428235231	7.13026682051	5.75873434476	6.67479835645	6.58962480361	6.67770739262	4.83092641902	5.21404336359	4.67375317029	5.904201305	6.70481258595	6.93335244722	5.4053455476	5.94050006617	5.26820494404	6.3350039226	5.45870476051	6.73421518655	5.77667765943	6.66857387666	5.76264706669	6.74271704768	6.50396989723	6.17625415898	6.08225291576	4.92218470267	5.81072953254	6.14508097759	4.87871649148	7.32362522409	7.05320125638	6.61854696047
